	dest_ip	dest_port	highest layer	length	timestamp
207	172.17.0.2	8080	HTTP	783	1521394922.888104
208	10.0.2.2	55968	PNG	1742	1521394922.888792
209	172.17.0.2	8080	TCP	54	1521394922.888969
210	172.17.0.2	8080	TCP	54	1521394922.888974
211	172.17.0.2	8080	HTTP	783	1521394922.890844
212	10.0.2.2	55968	TCP	54	1521394922.890889
213	10.0.2.2	55968	PNG	1701	1521394922.899336
214	172.17.0.2	8080	TCP	54	1521394922.900592
215	172.17.0.2	8080	TCP	54	1521394922.900609
216	172.17.0.2	8080	HTTP	783	1521394922.902633
217	10.0.2.2	55952	PNG	1635	1521394922.906764
218	172.17.0.2	8080	TCP	54	1521394922.907021
219	172.17.0.2	8080	HTTP	783	1521394922.908712
220	10.0.2.2	55966	PNG	1553	1521394922.912347
221	172.17.0.2	8080	TCP	54	1521394922.91253
222	172.17.0.2	8080	TCP	54	1521394922.912535
223	172.17.0.2	8080	HTTP	783	1521394922.914611
224	10.0.2.2	55966	TCP	54	1521394922.914665
225	10.0.2.2	55970	PNG	1702	1521394922.921132
226	172.17.0.2	8080	TCP	54	1521394922.921383
227	172.17.0.2	8080	TCP	54	1521394922.92139
228	172.17.0.2	8080	HTTP	783	1521394922.923145
229	10.0.2.2	55970	TCP	54	1521394922.923186
230	10.0.2.2	55972	PNG	1578	1521394922.923502
231	172.17.0.2	8080	TCP	54	1521394922.923661
232	172.17.0.2	8080	TCP	54	1521394922.923666
233	172.17.0.2	8080	HTTP	783	1521394922.925232
234	10.0.2.2	55972	TCP	54	1521394922.925268
235	10.0.2.2	55952	PNG	1653	1521394922.936488
236	172.17.0.2	8080	TCP	54	1521394922.936673
237	172.17.0.2	8080	HTTP	783	1521394922.939384
238	10.0.2.2	55968	TCP	54	1521394922.940026
239	10.0.2.2	55972	PNG	1679	1521394922.944562
240	172.17.0.2	8080	TCP	54	1521394922.944741
241	172.17.0.2	8080	TCP	54	1521394922.944746
242	172.17.0.2	8080	HTTP	783	1521394922.946796
243	10.0.2.2	55972	PNG	1694	1521394922.967698
244	172.17.0.2	8080	TCP	54	1521394922.967915
245	172.17.0.2	8080	HTTP	783	1521394922.970352
246	10.0.2.2	55970	PNG	1566	1521394922.973401
247	172.17.0.2	8080	TCP	54	1521394922.973586
248	172.17.0.2	8080	TCP	54	1521394922.973591
249	172.17.0.2	8080	HTTP	783	1521394922.975219
250	10.0.2.2	55970	TCP	54	1521394922.97532
251	10.0.2.2	55952	TCP	54	1521394922.975954
252	10.0.2.2	55972	PNG	1728	1521394922.97665
253	172.17.0.2	8080	TCP	54	1521394922.976849
254	172.17.0.2	8080	HTTP	783	1521394922.978683
255	10.0.2.2	55966	PNG	1552	1521394922.979161
256	172.17.0.2	8080	TCP	54	1521394922.979328
257	172.17.0.2	8080	TCP	54	1521394922.979333
258	172.17.0.2	8080	HTTP	783	1521394922.981173
259	10.0.2.2	55966	TCP	54	1521394922.981275
260	10.0.2.2	55966	PNG	1675	1521394922.986969
261	172.17.0.2	8080	TCP	54	1521394922.987146
262	172.17.0.2	8080	TCP	54	1521394922.98718
263	172.17.0.2	8080	HTTP	783	1521394922.988962
264	10.0.2.2	55972	PNG	1645	1521394922.99321
265	172.17.0.2	8080	TCP	54	1521394922.993406
266	172.17.0.2	8080	HTTP	783	1521394922.995191
267	10.0.2.2	55966	PNG	1635	1521394922.996684
268	172.17.0.2	8080	TCP	54	1521394922.99687
269	172.17.0.2	8080	HTTP	783	1521394922.998694
270	10.0.2.2	55972	PNG	1604	1521394923.002779
271	172.17.0.2	8080	TCP	54	1521394923.002954
272	172.17.0.2	8080	HTTP	783	1521394923.005131
273	10.0.2.2	55972	PNG	1507	1521394923.009776
274	172.17.0.2	8080	TCP	54	1521394923.009962
275	172.17.0.2	8080	HTTP	783	1521394923.011643
276	10.0.2.2	55966	PNG	1592	1521394923.016672
277	172.17.0.2	8080	TCP	54	1521394923.016842
278	172.17.0.2	8080	HTTP	783	1521394923.018782
279	10.0.2.2	55952	PNG	1600	1521394923.039334
280	172.17.0.2	8080	TCP	54	1521394923.039564
281	172.17.0.2	8080	TCP	54	1521394923.039571
282	172.17.0.2	8080	HTTP	783	1521394923.042146
283	10.0.2.2	55952	TCP	54	1521394923.042213
284	10.0.2.2	55972	PNG	1659	1521394923.043606
