	dest_port	dst	highest layer	host	length	src	timestamp
290	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.811458
291	43917	10.0.2.15	DNS	162.212.156.148	307	162.212.156.148	1521397349.827899
292	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.828184
293	43917	10.0.2.15	DNS	162.212.156.148	307	162.212.156.148	1521397349.842451
294	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397349.842717
295	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397349.858069
296	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.860035
297	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.873912
298	53	162.212.156.148	DNS	10.0.2.15	180	10.0.2.15	1521397349.874007
299	43917	10.0.2.15	DNS	162.212.156.148	285	162.212.156.148	1521397349.902385
300	53	162.212.156.148	DNS	10.0.2.15	202	10.0.2.15	1521397349.902628
301	43917	10.0.2.15	DNS	162.212.156.148	307	162.212.156.148	1521397349.91968
302	53	162.212.156.148	DNS	10.0.2.15	230	10.0.2.15	1521397349.919928
303	43917	10.0.2.15	DNS	162.212.156.148	335	162.212.156.148	1521397349.934776
304	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397349.936901
305	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397349.953778
306	53	162.212.156.148	DNS	10.0.2.15	97	10.0.2.15	1521397349.953925
307	43917	10.0.2.15	DNS	162.212.156.148	202	162.212.156.148	1521397349.968622
308	53	162.212.156.148	DNS	10.0.2.15	223	10.0.2.15	1521397349.968875
309	43917	10.0.2.15	DNS	162.212.156.148	328	162.212.156.148	1521397349.983845
310	53	162.212.156.148	DNS	10.0.2.15	220	10.0.2.15	1521397349.98416
311	43917	10.0.2.15	DNS	162.212.156.148	325	162.212.156.148	1521397350.000293
312	53	162.212.156.148	DNS	10.0.2.15	203	10.0.2.15	1521397350.00053
313	43917	10.0.2.15	DNS	162.212.156.148	308	162.212.156.148	1521397350.020639
314	53	162.212.156.148	DNS	10.0.2.15	221	10.0.2.15	1521397350.020884
315	43917	10.0.2.15	DNS	162.212.156.148	326	162.212.156.148	1521397350.035644
316	53	162.212.156.148	DNS	10.0.2.15	261	10.0.2.15	1521397350.035897
317	43917	10.0.2.15	DNS	162.212.156.148	366	162.212.156.148	1521397350.050801
318	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397350.052781
