,dest_ip,dest_port,highest_layer,length,response_type,src_ip,timestamp
169,10.0.2.15,43917,DNS,1104,1,162.212.156.148,1521397348.716842
170,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397348.726956
171,162.212.156.148,53,DNS,157,0,10.0.2.15,1521397348.756997
172,10.0.2.15,43917,DNS,202,1,162.212.156.148,1521397348.770891
173,162.212.156.148,53,DNS,157,0,10.0.2.15,1521397348.771047
174,10.0.2.15,43917,DNS,162,1,162.212.156.148,1521397348.805585
175,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.805748
176,10.0.2.15,43917,DNS,162,1,162.212.156.148,1521397348.831709
177,162.212.156.148,53,DNS,231,0,10.0.2.15,1521397348.831778
178,10.0.2.15,43917,DNS,391,1,162.212.156.148,1521397348.849296
179,10.0.2.15,43917,DNS,373,1,162.212.156.148,1521397348.849307
180,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397348.849439
181,10.0.2.15,43917,DNS,193,1,162.212.156.148,1521397348.862818
182,162.212.156.148,53,DNS,157,0,10.0.2.15,1521397348.863087
183,10.0.2.15,43917,DNS,162,1,162.212.156.148,1521397348.901016
184,162.212.156.148,53,DNS,233,0,10.0.2.15,1521397348.901164
185,10.0.2.15,43917,DNS,338,1,162.212.156.148,1521397348.918188
186,162.212.156.148,53,DNS,239,0,10.0.2.15,1521397348.920148
187,10.0.2.15,43917,DNS,344,1,162.212.156.148,1521397348.935589
188,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.936029
189,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.95142
190,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.951533
191,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.970483
192,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.970544
193,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397348.991912
194,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397348.991979
195,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.008918
196,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.009004
197,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.023698
198,162.212.156.148,53,DNS,225,0,10.0.2.15,1521397349.023758
199,10.0.2.15,43917,DNS,230,1,162.212.156.148,1521397349.059817
200,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.060028
201,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.075101
202,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.075161
203,10.0.2.15,43917,DNS,391,1,162.212.156.148,1521397349.088734
204,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.088806
205,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.103154
206,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.103219
207,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.121036
208,162.212.156.148,53,DNS,137,0,10.0.2.15,1521397349.121142
209,10.0.2.15,43917,DNS,204,1,162.212.156.148,1521397349.148294
210,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.148487
211,10.0.2.15,43917,DNS,429,1,162.212.156.148,1521397349.16257
212,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.162793
213,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.177685
214,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.177744
215,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.194071
216,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.194144
217,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.20915
218,162.212.156.148,53,DNS,137,0,10.0.2.15,1521397349.209206
219,10.0.2.15,43917,DNS,214,1,162.212.156.148,1521397349.226241
220,162.212.156.148,53,DNS,220,0,10.0.2.15,1521397349.226406
221,10.0.2.15,43917,DNS,287,1,162.212.156.148,1521397349.241056
222,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397349.246796
223,10.0.2.15,43917,DNS,194,1,162.212.156.148,1521397349.261469
224,162.212.156.148,53,DNS,223,0,10.0.2.15,1521397349.26173
225,10.0.2.15,43917,DNS,328,1,162.212.156.148,1521397349.277689
226,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.279812
227,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.294876
228,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.294947
229,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.312111
230,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.312212
231,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.3263
232,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.326361
233,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.340842
234,162.212.156.148,53,DNS,116,0,10.0.2.15,1521397349.340899
235,10.0.2.15,43917,DNS,221,1,162.212.156.148,1521397349.356012
236,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.356327
237,10.0.2.15,43917,DNS,327,1,162.212.156.148,1521397349.370574
238,162.212.156.148,53,DNS,220,0,10.0.2.15,1521397349.37086
239,10.0.2.15,43917,DNS,325,1,162.212.156.148,1521397349.388091
240,162.212.156.148,53,DNS,223,0,10.0.2.15,1521397349.390889
241,10.0.2.15,43917,DNS,328,1,162.212.156.148,1521397349.406486
242,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.406744
243,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397349.421722
244,162.212.156.148,53,DNS,242,0,10.0.2.15,1521397349.422706
245,10.0.2.15,43917,DNS,348,1,162.212.156.148,1521397349.439535
246,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.440217
247,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397349.455734
248,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.456261
249,10.0.2.15,43917,DNS,306,1,162.212.156.148,1521397349.472757
250,162.212.156.148,53,DNS,223,0,10.0.2.15,1521397349.47303
251,10.0.2.15,43917,DNS,328,1,162.212.156.148,1521397349.494351
252,162.212.156.148,53,DNS,223,0,10.0.2.15,1521397349.495333
253,10.0.2.15,43917,DNS,328,1,162.212.156.148,1521397349.52186
254,162.212.156.148,53,DNS,251,0,10.0.2.15,1521397349.522744
255,10.0.2.15,43917,DNS,356,1,162.212.156.148,1521397349.543693
256,162.212.156.148,53,DNS,203,0,10.0.2.15,1521397349.543933
257,10.0.2.15,43917,DNS,308,1,162.212.156.148,1521397349.55814
258,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.558403
259,10.0.2.15,43917,DNS,327,1,162.212.156.148,1521397349.578479
260,162.212.156.148,53,DNS,203,0,10.0.2.15,1521397349.578745
261,10.0.2.15,43917,DNS,308,1,162.212.156.148,1521397349.594127
262,162.212.156.148,53,DNS,203,0,10.0.2.15,1521397349.594609
263,10.0.2.15,43917,DNS,309,1,162.212.156.148,1521397349.60863
264,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.608905
265,10.0.2.15,43917,DNS,327,1,162.212.156.148,1521397349.624752
266,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.625005
267,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397349.642346
268,162.212.156.148,53,DNS,220,0,10.0.2.15,1521397349.644289
269,10.0.2.15,43917,DNS,325,1,162.212.156.148,1521397349.659836
270,162.212.156.148,53,DNS,223,0,10.0.2.15,1521397349.660097
271,10.0.2.15,43917,DNS,328,1,162.212.156.148,1521397349.675497
272,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.675753
273,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397349.690306
274,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.69184
